Operation,Cost,Imputation,Region,Division,Sub-Division,Accounting Sta.,Locality,Management m.,,Vote holder
DD Mbam et Inoubou : Achat de photocopieur numérique(du Projet N° 3-50-03-227-011),2000,324511152260,,MBAM INOUBOU,BAFIA,RECT. FIN. BAFIA,BAFIA,,,DD MINEE
DD Mbam et inoubou : Mobilier de bureau(du Projet N° 3-50-03-227-010),3000,324511152261,,MBAM INOUBOU,BAFIA,RECT. FIN. BAFIA,BAFIA,,,DD MINEE
DD du Mbam et Inoubou : Acquisition d'1 ordinateur complet et d'1 onduleur de 1000 VA(du Projet N° 3-56-01-227-036),2000,324511152276,,MBAM INOUBOU,BAFIA,RECT. FIN. BAFIA,BAFIA,,,DD MINEE
Nkolafamba (Campus IAI) : Electrification rurale (Extension réseau)(du Projet N° 2-04-02-614-005),18000,324511252254,,MEFOU ET AFAMBA,Sous préfecture NKOLAFAMBA,RECET FINA MFOU,NKOLAFAMBA,,,DD MINEE
DD Mefou Afamba : Achat de photocopieur numérique(du Projet N° 3-50-03-227-011),2000,324511252260,,MEFOU ET AFAMBA,MFOU,RECET FINA MFOU,MFOU,,,DD MINEE
DD Mefou Afamba : Mobilier de bureau(du Projet N° 3-50-03-227-010),3000,324511252261,,MEFOU ET AFAMBA,MFOU,RECET FINA MFOU,MFOU,,,DD MINEE
DD de la Mefou Afamba : Acquisition d'1 ordinateur complet et d'1 onduleur de 1000 VA(du Projet N° 3-56-01-227-036),2000,324511252276,,MEFOU ET AFAMBA,MFOU,RECET FINA MFOU,MFOU,,,DD MINEE
Elounden II :  Electrification décentralisée(du Projet N° 2-04-02-614-005),28000,324511302254,,MEFOU ET AKONO,MBANKOMO,RECETTE FINANCE NGOUMOU,ELOUNDEN II,,,DD MINEE
DD de la Mefou Akono: Acquisition d'1 ordinateur complet et d'1 onduleur de 1000 VA(du Projet N° 3-56-01-227-036),2000,324511302276,,MEFOU ET AKONO,NGOUMOU,RECETTE FINANCE NGOUMOU,NGOUMOU,,,DD MINEE
Dotation pour prise en charge des opérations du programme d'urgence d'alimentation en eau dans la ville de Yaoundé(du Projet N° 2-04-04-614-004),500000,324511352246,,MFOUNDI,YAOUNDE I (NLONGKAK),PAIERIE GENERALE,YAOUNDE I,,,Ministre
DD Mfoundi : Achat de photocopieur numérique(du Projet N° 3-50-03-227-011),2000,324511352260,,MFOUNDI,YAOUNDE I (NLONGKAK),PERCEPTION YDE 1 DJOUNGOLO,YAOUNDE I,,DA,DD MINEE
DD Mfoundi : Mobilier de bureau(du Projet N° 3-50-03-227-010),3000,324511352261,,MFOUNDI,YAOUNDE I (NLONGKAK),RECET.FIN. YAOUNDE,YAOUNDE I,,,DD MINEE
Boum Yebel : Latrines améliorées à fosses ventilées(du Projet N° 2-04-04-615-006),7500,324511402243,,NYONG ET KELLE,NGOG-MAPUBI,RECET FINA ESEKA,BOUMNYEBEL,,,DD MINEE
Nsonga II : Electrification décentralisée(du Projet N° 2-04-02-614-005),28000,324511402254,,NYONG ET KELLE,BIYOUHA,RECET FINA ESEKA,NSONGA II,,,DD MINEE
Mamb-Libeligo (Nord et Sud) :  Electrification rurale(du Projet N° 2-04-02-614-005),28000,324511402254,,NYONG ET KELLE,NGOG-MAPUBI,RECET FINA ESEKA,Mamb,,,DD MINEE
Lika : Electrification rurale (Achèvement )(du Projet N° 2-04-02-614-005),22000,324511402254,,NYONG ET KELLE,DIBANG,RECET FINA ESEKA,LIKA,,,DD MINEE
Efufup-Kobdombo : AEP(du Projet N° 2-04-04-614-004),40000,324511452246,,NYONG ET MFOUMOU,NYAKOKOMBO,TRESORERIE YAOUNDE,EFOUFOU P,,,DR MINEE
DD Nyong et Mfoumou : Achat de photocopieur numérique(du Projet N° 3-50-03-227-011),2000,324511452260,,NYONG ET MFOUMOU,AKONOLINGA,RECET FINA AKONOLINGA,AKONOLINGA,,,DD MINEE
DD Nyong et Mfoumou : Mobilier de bureau(du Projet N° 3-50-03-227-010),3000,324511452261,,NYONG ET MFOUMOU,AKONOLINGA,RECET FINA AKONOLINGA,AKONOLINGA,,,DD MINEE
DD du Nyong et Mfoumou : Acquisition d'1 ordinateur complet et d'1 onduleur de 1000 VA(du Projet N° 3-56-01-227-036),2000,324511452276,,NYONG ET MFOUMOU,AKONOLINGA,RECET FINA AKONOLINGA,AKONOLINGA,,,DD MINEE
DD Nyong et So'o : Aménagement(du Projet N° 2-30-01-222-122),4500,324511502220,,NYONG ET SO,MBALMAYO,RECET FINA MBALMAYO,MBALMAYO,,,DD MINEE
Nkomeyang :   Electrification rurale(du Projet N° 2-04-02-614-005),28000,324511502254,,NYONG ET SO,NGOMEDZAP,RECET FINA MBALMAYO,NKOLMEYANG,,,DD MINEE
DD Nyong et So'o : Photocopieur numérique(du Projet N° 3-50-03-227-011),2000,324511502260,,NYONG ET SO,MBALMAYO,RECET FINA MBALMAYO,MBALMAYO,,,DD MINEE
Nkolbondo: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411022252,,MEFOU ET AKONO,AKONO,Commune de AKONO,NKOLBONDO,,,Maire
CETIC de Bikok: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411022252,,MEFOU ET AKONO,AKONO,Commune de AKONO,CETIC DE BIKOK,,,Maire
Etangui: forage équipé(du Projet N° 2-04-04-614-006),8000,326411042246,,NYONG ET MFOUMOU,AKONOLINGA,Commune de AKONOLINGA,ETANGUI,,,Maire
Ndamba village (CES): Forage équipé(du Projet N° 2-04-04-614-006),8000,326411042252,,NYONG ET MFOUMOU,AKONOLINGA,Commune de AKONOLINGA,NDAMBA VILLAGE (CES),,,Maire
Anddom-Sso: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411042252,,NYONG ET MFOUMOU,AKONOLINGA,Commune de AKONOLINGA,ANDDOM-SSO,,,Maire
Nkol-Ngock: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411062252,,MEFOU ET AFAMBA,AWAE,Commune de AWAE,NKOLNGOCK,,,Maire
Nnemeyong-Ecole: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411082252,,NYONG ET MFOUMOU,AYOS,Commune de AYOS,NNEMEYONG-ECOLE,,,Maire
Yombi: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411102252,,MBAM INOUBOU,BAFIA,Commune de BAFIA,YOMBI,,,Maire
Akok Bakoe I: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411122252,,MEFOU ET AKONO,BIKOK,Commune de BIKOK,AKOK BEKOE 1,,,Maire
Kédia (Mbella): Forage équipé(du Projet N° 2-04-04-614-006),8000,326411142252,,MBAM INOUBOU,BOKITO,Commune de BOKITO,KEDIA (MBELLA),,,Maire
Bebe centre: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411162252,,NYONG ET KELLE,BOT-MAKAK,Commune de BOT-MAKAK,BEBE CENTRE,,,Maire
Banda Brousse :Forage équipé(du Projet N° 2-04-04-614-006),8000,326411162252,,NYONG ET KELLE,BOT-MAKAK,Commune de BOT-MAKAK,BANDA BROUSSE,,,Maire
Missongue Carrefour:  Forage équipé(du Projet N° 2-04-04-614-006),8000,326411162252,,NYONG ET KELLE,BOT-MAKAK,Commune de BOT-MAKAK,MISSONGUE CARREFOUR,,,Maire
CES de DEUK: forage équipé(du Projet N° 2-04-04-614-006),8000,326411182252,,MBAM INOUBOU,DEUK,Commune de DEUK,CES DE DEUK,,,Maire
Dikonop (BO NSO) : Forage équipé(du Projet N° 2-04-04-614-006),8000,326411202252,,NYONG ET KELLE,DIBANG,Commune de DIBANG,DIKONOP (BO NSO),,,Maire
Bamo: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411202252,,NYONG ET KELLE,DIBANG,Commune de DIBANG,BAMO,,,Maire
Assok (Boyen): Forage équipé(du Projet N° 2-04-04-614-006),8000,326411222252,,NYONG ET SO,DZENG,Commune de DZENG,ASSOK (BOYEN),,,Maire
Atega: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411222252,,NYONG ET SO,DZENG,Commune de DZENG,ATEGA,,,Maire
Ebebda Sar/SM: forage équipé(du Projet N° 2-04-04-614-006),8000,326411242252,,LEKIE,EBEBDA,Commune de EBEBDA,EBEBDA SAR/SM,,,Maire
Nkol-Elouga (Mvog-Messina): Forage équipé(du Projet N° 2-04-04-614-006),8000,326411242252,,LEKIE,EBEBDA,Commune de EBEBDA,NKOL ELOUGA (MVOG-MESSINA),,,Maire
Ebomzout: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411242252,,LEKIE,EBEBDA,Commune de EBEBDA,EBOMZOUT,,,Maire
Ekomba (Nkol Meka'a Stade): Forage équipé(du Projet N° 2-04-04-614-006),8000,326411282252,,NYONG ET MFOUMOU,ENDOM,Commune de ENDOM,EKOMBA (NKOL MEKA'A STADE),,,Maire
Mebassal Chefferie: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411282252,,NYONG ET MFOUMOU,ENDOM,Commune de ENDOM,MEBASSAL CHEFFERIE,,,Maire
Eséka II Usine Babaya: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411302252,,NYONG ET KELLE,ESEKA,Commune de ESEKA,ESEKA 2 USINE BABAYA,,,Maire
Nkol-avolo (Centre Médico-Social): Forage équipé(du Projet N° 2-04-04-614-006),8000,326411322252,,MEFOU ET AFAMBA,ESSE,Commune de ESSE,NKOL AVOLO (CENTRE MEDICO-SOCIAL),,,Maire
Njantibda: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411362252,,NYONG ET KELLE,MAKAK,Commune de MAKAK,NJANTIBDA,,,Maire
EP Njantibda: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411362252,,NYONG ET KELLE,MAKAK,Commune de MAKAK,EP NJANTIBDA,,,Maire
MAEND LIBUDE: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411402252,,NYONG ET KELLE,MATOMB,Commune de MATOMB,MAEND LIBUDE,,,Maire
Nkolmetet Centre: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411422252,,NYONG ET SO,MBALMAYO,Commune de MBALMAYO,NKOLMETET CENTRE,,,Maire
Lycée de Mbandjock: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411442252,,HAUTE SANAGA,MBANDJOCK,Commune de MBANDJOCK,LYCEE DE MBANDJOCK,,,Maire
Yébékolo: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411462252,,MBAM ET KIM,MBANGASSINA,Commune de MBANGASSINA,YEBEKOLO,,,Maire
Mefomo (lycée): Puits équipés(du Projet N° 2-04-04-614-006),8000,326411482252,,MEFOU ET AKONO,MBANKOMO,Commune de MBANKOMO,MEFOMO (LYCEE),,,Maire
Angongo (Cité Metong): Forage équipé(du Projet N° 2-04-04-614-006),8000,326411482252,,MEFOU ET AKONO,MBANKOMO,Commune de MBANKOMO,ANGONGO (CITE METONG),,,Maire
Nkol Akono: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411482252,,MEFOU ET AKONO,MBANKOMO,Commune de MBANKOMO,NKOL AKONO,,,Maire
Mboui I: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411502252,,NYONG ET KELLE,MESSONDO,Commune de MESSONDO,MBOUI 1,,,Maire
Nliba: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411502252,,NYONG ET KELLE,MESSONDO,Commune de MESSONDO,NLIBA,,,Maire
Nkolo III: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411522252,,MEFOU ET AFAMBA,MFOU,Commune de MFOU,NKOLO 3,,,Maire
Nkol-Mefou I: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411522252,,MEFOU ET AFAMBA,MFOU,Commune de MFOU,NKOL MEFOU I,,,Maire
Ngbwaga: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411542252,,HAUTE SANAGA,MINTA,Commune de MINTA,NGBWAGA,,,Maire
Mvogmekak II: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411562252,,LEKIE,MONATELE,Commune de MONATELE,MVOGMEKAK 2,,,Maire
Nguinda: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411582252,,HAUTE SANAGA,NANGA-EBOKO,Commune de NANGA EBOKO,NGUINDA,,,Maire
Ndikoti: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411602252,,MBAM INOUBOU,NDIKINIMEKI,Commune de NDIKINIMEKI,NDIKOTI,,,Maire
Ecole pub de Nsam: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411612252,,MBAM INOUBOU,KIIKI,Commune KIIKI,EP NSAM,,,Maire
E.P. Ngambe Tikar: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411622252,,MBAM ET KIM,NGAMBE-TIKAR,Commune de NGAMBE-TIKAR,EP NGAMBE TIKAR,,,Maire
Mekon III: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411632252,,HAUTE SANAGA,Sous préfecture BIBEY,Commune de BIBEY,MEKON 3,,,Maire
Njock-Nkong: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411642252,,NYONG ET KELLE,NGOG-MAPUBI,Commune de NGOG-MAPUBI,NJOCK NKONG,,,Maire
Zing: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411652252,,HAUTE SANAGA,Sous préfecture NSEM,Commune de NSEM,ZING,,,Maire
Kama: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411662252,,NYONG ET SO,NGOMEDZAP,Commune de NGOMEDZAP,Kama,,,Maire
Nkolmeyang par Ngodzap: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411662252,,NYONG ET SO,NGOMEDZAP,Commune de NGOMEDZAP,NKOLMEYANG PAR NGODZAP,,,Maire
Ekouomeyeck: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411662252,,NYONG ET SO,NGOMEDZAP,Commune de NGOMEDZAP,EKOUOMEYECK,,,Maire
BONDO: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411682252,,MBAM ET KIM,NGORO,Commune de NGORO,BONDO,,,Maire
EP NGORO: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411682252,,MBAM ET KIM,NGORO,Commune de NGORO,EP NGORO,,,Maire
Nkolmeyang: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411692252,,LEKIE,Sous préfecture LOBO,Commune de LOBO,NKOLMEYANG,,,Maire
Nkolmending: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411702252,,MEFOU ET AKONO,NGOUMOU,Commune de NGOUMOU,NKOLMENDING,,,Maire
Ba'ana: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411722252,,HAUTE SANAGA,NKOTENG,Commune de NKOTENG,BA'ANA,,,Maire
Nkoundong: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411742252,,MBAM ET KIM,NTUI,Commune de NTUI,Nkoundong,,,Maire
Nkoayos: Puit équipé et clôturé(du Projet N° 2-04-04-614-006),8000,326411752252,,MEFOU ET AFAMBA,Sous préfecture EDZENDOUAN,Commune de EDZENDOUAN,NKOAYOS,,,Maire
Nkolpoblo Lycée: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411782252,,LEKIE,OKOLA,Commune de OKOLA,NKOLPOBLO LYCEE,,,Maire
Nkol Otomo: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411782252,,LEKIE,OKOLA,Commune de OKOLA,NKOL OTOMO,,,Maire
Afanloum (centre): Forage équipé(du Projet N° 2-04-04-614-006),8000,326411792252,,MEFOU ET AFAMBA,Sous préfecture AFANLOUM,Commune de AFANLOUM,AFANLOUM (CENTRE),,,Maire
Bonkono Marché: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411802252,,MBAM INOUBOU,OMBESSA,Commune de OMBESSA,BONKONO MARCHE,,,Maire
Gah: forage équipé(du Projet N° 2-04-04-614-006),8000,326411812252,,MBAM INOUBOU,KON YAMBETTA,Commune de Kon-Yambetta,GAH,,,Maire
Ondondo II: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411822252,,LEKIE,SAA,Commune de SA'A,ONDONDO 2,,,Maire
Ekalan Minkul : Forage équipé(du Projet N° 2-04-04-614-006),8000,326411822252,,LEKIE,SAA,Commune de SA'A,EKALAN MINKUL,,,Maire
Kongo Elig manga: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411822252,,LEKIE,SAA,Commune de SA'A,KONGO ELIG MANGA,,,Maire
Medouka Mokala: forage équipé(du Projet N° 2-04-04-614-006),8000,326411822252,,LEKIE,SAA,Commune de SA'A,MEDOUKA MOKALA,,,Maire
Nkol Ebassimbi: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411822252,,LEKIE,SAA,Commune de SA'A,NKOL EBASSIMBI,,,Maire
Akondo: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411832252,,MEFOU ET AFAMBA,Sous préfecture ASSAMBA,Commune de OLANGUINA,AKONDO,,,Maire
Ebang II: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411842252,,MEFOU ET AFAMBA,SOA,Commune de SOA,EBANG II,,,Maire
Essong mintsang; Forage équipé(du Projet N° 2-04-04-614-006),8000,326411842252,,MEFOU ET AFAMBA,SOA,Commune de SOA,ESSONG MINTSANG,,,Maire
Metet Centre: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411892252,,NYONG ET SO,NKOLMETET,Commune de NKOLMETET,METET CENTRE,,,Maire
Ebogo: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411912252,,NYONG ET MFOUMOU,MENGANG,Commune de MENGANG,EBOGO,,,Maire
Emvong: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411912252,,NYONG ET MFOUMOU,MENGANG,Commune de MENGANG,EMVONG,,,Maire
Ndamvo: Forage équipé(du Projet N° 2-04-04-614-006),8000,326411932252,,NYONG ET MFOUMOU,NYAKOKOMBO,Commune de KOBDOMBO,NDAMVO,,,Maire
Maitrise d'œuvre des travaux d'achèvement de la construction de la délégation régionale du centre(du Projet N° 2-30-01-222-341),5359,3344111120210,,MFOUNDI,YAOUNDE I (NLONGKAK),PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,,Ministre
REGION du Centre:Préparation des sites du reboisement et mise en terre(du Projet N° 1-02-06-202-167),3500,3344111122010,,MFOUNDI,YAOUNDE I (NLONGKAK),TRESORERIE YAOUNDE,YAOUNDE I,,,Délégué Régional
REGION du Centre:Achat de 8000 plants(du Projet N° 1-02-06-202-167),17000,3344111122020,,MFOUNDI,YAOUNDE I (NLONGKAK),TRESORERIE YAOUNDE,YAOUNDE I,,,Délégué Régional
REGION du Centre:Entretien et suivi des plants(du Projet N° 1-02-06-202-167),4500,3344111122030,,MFOUNDI,Yaoundé  V (NKOLMESSENG),RECET.FIN. YAOUNDE,DJOUNGOLO,,,Délégué Régional
Achèvement des travaux de construction de la délégation régionale du centre(du Projet N° 2-30-01-222-341),90062,3344111122200,,MFOUNDI,YAOUNDE I (NLONGKAK),PAIERIE GENERALE,YAOUNDE I,,,Ministre
Réhabilitation de la délégation régionale du centre(du Projet N° 2-30-01-222-341),29600,3344111122300,,MFOUNDI,YAOUNDE I (NLONGKAK),TRESORERIE YAOUNDE,YAOUNDE I,,,DR MINFOF
Forage équipé de pompe ) motricité humaine à KOMBASSI(du Projet N° 3-56-02-652-280),10000,334511252246,,MEFOU ET AFAMBA,Sous préfecture NKOLAFAMBA,PERCEPTION NKOLAFAMBA,NKOLAFAMBA,,,DD Mefou et Afamba
Forage équipé de pompe à motricité humaine à Mbaka'a (Elig Bomba Appolé)(du Projet N° 3-56-02-652-280),10000,334511302246,,MEFOU ET AKONO,BIKOK,PERCEPTION BIKOK,BIKOK,,,DD Mefou et Akono
"Forage équipé de pompe à motricité humaine à Mvolo (Binguela, à côté fôret EKOUMBA)(du Projet N° 3-56-02-652-280)",10000,334511302246,,MEFOU ET AKONO,MBANKOMO,PERCEPTION MBANKOMO,MBANKOMO,,,DD Mefou et Akono
Ouverture d'un Km de piste à Mvolo (Binguela)(du Projet N° 3-56-02-652-280),10000,334511302250,,MEFOU ET AKONO,MBANKOMO,PERCEPTION MBANKOMO,BINGUELA,,,DD MINFOF
Equipement du poste forestier et chasse de Ngog- Mapubi en mobiliers de bureau(du Projet N° 3-56-01-227-233),4900,334511402261,,NYONG ET KELLE,NGOG-MAPUBI,RECET FINA ESEKA,NGOG - MAPUBI,,,DD MINFOF Nyong et Kellé
Forage équipé de pompe à motricité humaine à ABANDA (Mvog Mendo)(du Projet N° 3-56-02-652-280),10000,334511452246,,NYONG ET MFOUMOU,ENDOM,PERCEPTION ENDOM,ENDOM,,,DD Nyong et Mfoumou
Forage équipé de pompe à motricité humaine à Nseng Nlong II (Chefferie Mbida)(du Projet N° 3-56-02-652-280),10000,334511502246,,NYONG ET SO,MBALMAYO,RECET FINA MBALMAYO,MBALMAYO,,,DD Nyong et So'o
Forage au parc de boutturage de Mbalmayo(du Projet N° 3-56-02-652-280),10000,334511502246,,NYONG ET SO,MBALMAYO,RECET FINA MBALMAYO,MBALMAYO,,,DD Nyong et So'o
Réhabilitation du Jardin Zoologique de Mvog Betsi(du Projet N° 1-04-01-206-241),25000,335611902220,,MFOUNDI,YAOUNDE III (EFOULAN),PERCEPTION YDE 3 UNIVERSITE,YAOUNDE III,,,Conservateur
REGION du CENTRE:Appui au jardin Zoologique de Mvog-Betsi(du Projet N° 1-04-01-225-339),50000,335611902813,,MFOUNDI,YAOUNDE III (EFOULAN),RECET.FIN. YAOUNDE,mvog beti,,,Conservateur
Construction de la base vie du parc national du Mpem et Djim  (Phase I)(du Projet N° 1-04-01-206-241),45000,335611982220,,MBAM ET KIM,NTUI,RECETTE FINANCE NTUI,NTUI,,,Conservateur
DDEFOP du Mfoundi à Yaoundé : Réhabilitation des locaux(du Projet N° 2-30-02-220-100),4000,3544111122300,,MFOUNDI,YAOUNDE I (NLONGKAK),RECET.FIN. YAOUNDE,YAOUNDE I,,,DDEFOP
SAR/SM de BIBEY: Construction d'un bloc de toilettes(du Projet N° 3-52-01-227-123),4000,354511052239,,HAUTE SANAGA,Sous préfecture BIBEY,PERCEPTION BIBEY,BIBEY,,,Directeur SAR/SM
SAR/SM d'EBEBDA : Bornage du site abritant la SAR/SM d'EBEBDA(du Projet N° 3-52-01-227-123),1000,354511102109,,LEKIE,EBEBDA,PERCEPTION EBEBDA,EBEBDA,,,Directeur SAR/SM
SAR/SM de BOKITO : Branchement au réseau AES Sonel(du Projet N° 3-56-01-208-101),4700,354511152248,,MBAM INOUBOU,BOKITO,PERCEPTION BOKITO,BOKITO,,,Directeur SAR/SM
DDEFOP du Mbam et Inoubou à Bafia : Equipement en matériel de bureau(du Projet N° 3-56-02-202-101),4500,354511152260,,MBAM INOUBOU,BAFIA,RECT. FIN. BAFIA,BAFIA,,,DDEFOP
DDEFOP de la Mefou Afamba à  Mfou : Construction  de la  DDEFOP de la Mefou Afamba (2ème phase)(du Projet N° 2-30-02-220-100),20000,354511252220,,MEFOU ET AFAMBA,MFOU,RECET FINA MFOU,MFOU,,,DDEFOP
SAR/SM de KAMBA : Acquisition de 60 tables bancs(du Projet N° 3-52-01-227-123),2000,354511252270,,MEFOU ET AFAMBA,MFOU,RECET FINA MFOU,KAMBA,,,Directeur SAR/SM
Acquisition de 60 tables + 60 chaises de formation au CFPREB de Yaoundé(du Projet N° 3-52-01-227-123),3600,354511352270,,MFOUNDI,YAOUNDE I (NLONGKAK),RECET.FIN. YAOUNDE,YAOUNDE I,,,Chef/CFPREB
DDEFOP du Nyong Ekéllé à Eséka : Construction de la DDEFOP du Nyong Ekéllé à Eséka (1ère phase)(du Projet N° 2-30-02-220-100),30000,354511402220,,NYONG ET KELLE,ESEKA,RECET FINA ESEKA,ESEKA,,,DDEFOP
SAR/SM de Yoko: Achèvement d'un bâtiment atelier(du Projet N° 3-56-01-208-101),9000,354511512232,,MBAM ET KIM,YOKO,RECETTE FINANCE NTUI,YOKO,,,DDEFOP
SAR/SM de KOMO MVOKANI : Construction de deux salles de classe(du Projet N° 3-56-01-208-101),16000,355311762222,,LEKIE,OBALA,RECET FINA MONATELE,KOMO MVOKANI,,,DDEFOP
Etude Préliminaire en vue de la construction de l''Autoroute reliant Douala-Yaoundé et Bafoussam(du Projet N° 2-05-03-225-001),250000,3644111120310,,MFOUNDI,YAOUNDE I (NLONGKAK),PAIERIE GENERALE,YAOUNDE I,,,MINTP
Exécution des travaux d'entretien de certaines routes dans les quartiers périphériques de Yaoundé. - LOT N° 1 passé après Appel d'Offres National Ouvert N°040/AONO/MINTP/CPM-ERRP/2010  du 19 Avril 2009(du Projet N° ,300000,3644111122090,,MFOUNDI,YAOUNDE I (NLONGKAK),PAIERIE GENERALE,YAOUNDE I,,,DDTP
Travaux d'urgence du tronçon Nkolmesseng2-Carrefour Nkolmefom (Marché n° 370/M/MINTP/CPM-ERRP/2010(du Projet N° 2-05-03-225-086),44300,3644111122090,,MFOUNDI,YAOUNDE I (NLONGKAK),PAIERIE GENERALE,MIMBOMAN III,,,MINTP
DR DU CENTRE/ Réhabilitation/Gestion des barrières de pluies(du Projet N° 2-05-03-225-013),7000,3644111122500,,MFOUNDI,YAOUNDE I (NLONGKAK),TRESORERIE YAOUNDE,YAOUNDE I,,,DRTP
Travaux de construction d'un pont en béton armé sur la rivière  AFEME et amenegement des accès route Carrefour Camp Sonel OYOMABANG-NKOLAFEME(du Projet N° 2-05-03-225-086),60000,3644111122510,,MFOUNDI,Yaoundé VII (NKOLBISSON),RECET.FIN. YAOUNDE,Yaounde Vll,,DA,DDTP
"Etudes de bitumage de la route OBALA-NANGA EBOGO-BOUAM: TRONCONS  1. NKOLESSONG-NDING (actualisation), 2. NDING-MBGABA et 3. MBGABA-BOUAM(du Projet N° 2-05-03-225-001)",159000,364511052031,,HAUTE SANAGA,NANGA-EBOKO,PAIERIE GENERALE,NANGA EBOKO,,,MINTP
DDTP DE LA HAUTE SANAGA/ Réhabilitation/Gestion des barrières de pluies(du Projet N° 2-05-03-225-013),3000,364511052250,,HAUTE SANAGA,NANGA-EBOKO,RECET FINA NANGA EBOKO,NANGA EBOKO,,,DDTP
Acquisition d'un moteur pour le Bac d'EKONE(du Projet N° 2-05-03-225-086),60000,364511052250,,HAUTE SANAGA,NANGA-EBOKO,RECET FINA NANGA EBOKO,NANGA EBOKO,,,DDMINTP
DDTP DE LA LEKIE/ Réhabilitation/Gestion des barrières de pluies(du Projet N° 2-05-03-225-013),3000,364511102250,,LEKIE,MONATELE,RECET FINA MONATELE,MONATELE,,,DDTP
Travaux de refection de l'axe Evodoula-Nkolzibi-Nkolpoblo(du Projet N° 2-05-03-225-086),60000,364511102250,,LEKIE,MONATELE,RECET FINA MONATELE,MONATELE,,,DDMINTP
Travaux de gravillonnage de la route Nkol Ngok-Ngondzie(du Projet N° 2-05-03-225-086),150000,364511102250,,LEKIE,SAA,RECET FINA MONATELE,LEBAMZIP,,,DDTP
Réhabilitation de la route Inter RN3-Carrefour Nlong -Ekoutik-Lobo(du Projet N° 2-05-03-225-086),60000,364511102250,,LEKIE,Sous préfecture LOBO,RECET FINA MONATELE,LOBO,,,DDTP
Travaux de construction du pont sur la rivière BILO'O(du Projet N° 2-05-03-225-086),60000,364511102251,,LEKIE,Sous préfecture LOBO,RECET FINA MONATELE,OZOM II,,,DDTP
Fourniture et installation d'un moeteur de traction neuf au bac de Nachigal(du Projet N° 2-05-03-225-086),69100,364511102284,,LEKIE,MONATELE,RECET FINA MONATELE,MONATELE,,,DDTP
Réhabilitaion de la résidence du Délégué Départemental des Travaux Publics du MBAM et INOUBOU(du Projet N° 2-05-03-225-086),50000,364511152235,,MBAM INOUBOU,BAFIA,RECT. FIN. BAFIA,BAFIA,,,DDTP
